trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,5,13.1083224,13.1083224,0.023179,[0.23981481481481481],[0.3425925925925926],[1],[0],[0],[1.3567380999993475],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
1,0,1,0,10,14.4797595,14.4797595,0.0189332,[0.3],[0.1824074074074074],[1],[0],[0],[1.158862299998873],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
2,0,2,0,10,15.6625573,15.6625573,0.0233432,[-0.4537037037037037],[-0.4722222222222222],[1],[0],[0],[3.10940059999848],[],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
3,0,3,0,5,18.7823278,18.7823278,0.0103987,[-0.43148148148148147],[-0.11851851851851852],[1],[0],[0],[1.2033783999995649],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
4,0,4,0,10,20.0203955,20.0203955,0.0273727,[-0.0787037037037037],[-0.37407407407407406],[1],[0],[0],[1.9384774999998626],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
5,0,5,0,10,21.9934258,21.9934258,0.0298528,[-0.2796296296296296],[0.19074074074074074],[1],[0],[0],[2.6970194000004994],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
6,0,6,0,10,24.7126896,24.7126896,0.0199414,[-0.22685185185185186],[0.025],[1],[0],[0],[1.679081700000097],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
7,0,7,0,5,26.4040115,26.4040115,0.0111283,[-0.09814814814814815],[0.3592592592592593],[1],[0],[0],[1.384125700000368],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
8,0,8,0,10,27.8128185,27.8128185,0.0191772,[0.32685185185185184],[-0.04537037037037037],[1],[0],[0],[1.6783875999990414],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
9,0,9,0,5,29.5013801,29.5013801,0.0094929,[0.32685185185185184],[-0.04537037037037037],[1],[0],[0],[0.1222447000000102],[],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
10,0,10,0,10,29.647543,29.647543,0.0187625,[-0.34074074074074073],[-0.007407407407407408],[1],[0],[0],[1.711351800000557],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
11,0,11,0,10,31.3833502,31.3833502,0.0200649,[0.1425925925925926],[0.2351851851851852],[1],[0],[0],[1.3771289000014804],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
12,0,12,0,10,32.7833887,32.7833887,0.0216894,[0.3175925925925926],[0.2833333333333333],[1],[0],[0],[1.07640739999988],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
13,0,13,0,10,33.8804474,33.8804474,0.0184371,[-0.030555555555555555],[0.17962962962962964],[1],[0],[0],[1.0966024999997899],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
14,0,14,0,5,34.9881894,34.9881894,0.0094978,[-0.4666666666666667],[-0.30092592592592593],[1],[0],[0],[2.171824800001559],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
15,0,15,0,10,37.1835423,37.1835423,0.0189342,[-0.4361111111111111],[0.1],[1],[0],[0],[1.4111436000002868],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
16,0,16,0,5,38.6045959,38.6045959,0.0093569,[0.06111111111111111],[0.36018518518518516],[1],[0],[0],[1.3728066999992734],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
17,0,17,0,5,39.9908486,39.9908486,0.0099817,[0.4009259259259259],[0.10833333333333334],[1],[0],[0],[1.253719700000147],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
18,0,18,0,10,41.2738257,41.2738257,0.0209572,[0.2935185185185185],[-0.32314814814814813],[1],[0],[0],[1.8070793999995658],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
19,0,19,0,10,43.1006066,43.1006066,0.0185897,[0.30092592592592593],[0.13240740740740742],[1],[0],[0],[1.1457157999993797],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
20,0,20,0,5,44.2617125,44.2617125,0.0134319,[-0.43425925925925923],[0.0712962962962963],[1],[0],[0],[1.5005323000004864],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
